object,repo,episode_index,camera,length_frames,duration_s,source_video,clip,clip_kb,gif,gif_kb,ok
cucumber,eval_pi0_dataset9_ocelg_95_vlm_ef_cucumber,11,top,206,6.867,/home/baset/.cache/huggingface/lerobot/mabsarker/fevla/eval_v5_ocelg_vlm/eval_pi0_dataset9_ocelg_95_vlm_ef_cucumber/videos/observation.images.top/chunk-000/file-000.mp4,out/failed_videos/cucumber/ep011_fail_top.mp4,546.8,out/failed_videos/cucumber/ep011_fail_top.gif,5244.8,True
cucumber,eval_pi0_dataset9_ocelg_95_vlm_ef_cucumber,16,top,206,6.867,/home/baset/.cache/huggingface/lerobot/mabsarker/fevla/eval_v5_ocelg_vlm/eval_pi0_dataset9_ocelg_95_vlm_ef_cucumber/videos/observation.images.top/chunk-000/file-000.mp4,out/failed_videos/cucumber/ep016_fail_top.mp4,554.8,out/failed_videos/cucumber/ep016_fail_top.gif,5225.5,True
cucumber,eval_pi0_dataset9_ocelg_95_vlm_ef_cucumber,18,top,209,6.967,/home/baset/.cache/huggingface/lerobot/mabsarker/fevla/eval_v5_ocelg_vlm/eval_pi0_dataset9_ocelg_95_vlm_ef_cucumber/videos/observation.images.top/chunk-000/file-000.mp4,out/failed_videos/cucumber/ep018_fail_top.mp4,568.5,out/failed_videos/cucumber/ep018_fail_top.gif,5272.2,True
lime,eval_pi0_dataset9_ocelg_95_vlm_ef_lime,1,top,207,6.9,/home/baset/.cache/huggingface/lerobot/mabsarker/fevla/eval_v5_ocelg_vlm/eval_pi0_dataset9_ocelg_95_vlm_ef_lime/videos/observation.images.top/chunk-000/file-000.mp4,out/failed_videos/lime/ep001_fail_top.mp4,546.8,out/failed_videos/lime/ep001_fail_top.gif,5065.0,True
lime,eval_pi0_dataset9_ocelg_95_vlm_ef_lime,15,top,207,6.9,/home/baset/.cache/huggingface/lerobot/mabsarker/fevla/eval_v5_ocelg_vlm/eval_pi0_dataset9_ocelg_95_vlm_ef_lime/videos/observation.images.top/chunk-000/file-000.mp4,out/failed_videos/lime/ep015_fail_top.mp4,534.1,out/failed_videos/lime/ep015_fail_top.gif,5211.0,True
lime,eval_pi0_dataset9_ocelg_95_vlm_ef_lime,16,top,206,6.867,/home/baset/.cache/huggingface/lerobot/mabsarker/fevla/eval_v5_ocelg_vlm/eval_pi0_dataset9_ocelg_95_vlm_ef_lime/videos/observation.images.top/chunk-000/file-000.mp4,out/failed_videos/lime/ep016_fail_top.mp4,566.7,out/failed_videos/lime/ep016_fail_top.gif,4960.7,True
grape,eval_pi0_dataset9_ocelg_95_vlm_ef_grape,9,top,351,11.7,/home/baset/.cache/huggingface/lerobot/mabsarker/fevla/eval_v5_ocelg_vlm/eval_pi0_dataset9_ocelg_95_vlm_ef_grape/videos/observation.images.top/chunk-000/file-000.mp4,out/failed_videos/grape/ep009_fail_top.mp4,868.4,out/failed_videos/grape/ep009_fail_top.gif,9020.6,True
grape,eval_pi0_dataset9_ocelg_95_vlm_ef_grape,13,top,171,5.7,/home/baset/.cache/huggingface/lerobot/mabsarker/fevla/eval_v5_ocelg_vlm/eval_pi0_dataset9_ocelg_95_vlm_ef_grape/videos/observation.images.top/chunk-000/file-000.mp4,out/failed_videos/grape/ep013_fail_top.mp4,438.2,out/failed_videos/grape/ep013_fail_top.gif,4332.2,True
egg,eval_pi0_dataset9_ocelg_95_vlm_ef_egg,0,top,245,8.167,/home/baset/.cache/huggingface/lerobot/mabsarker/fevla/eval_v5_ocelg_vlm/eval_pi0_dataset9_ocelg_95_vlm_ef_egg/videos/observation.images.top/chunk-000/file-000.mp4,out/failed_videos/egg/ep000_fail_top.mp4,640.6,out/failed_videos/egg/ep000_fail_top.gif,6192.5,True
egg,eval_pi0_dataset9_ocelg_95_vlm_ef_egg,1,top,241,8.033,/home/baset/.cache/huggingface/lerobot/mabsarker/fevla/eval_v5_ocelg_vlm/eval_pi0_dataset9_ocelg_95_vlm_ef_egg/videos/observation.images.top/chunk-000/file-000.mp4,out/failed_videos/egg/ep001_fail_top.mp4,592.8,out/failed_videos/egg/ep001_fail_top.gif,6042.1,True
egg,eval_pi0_dataset9_ocelg_95_vlm_ef_egg,7,top,184,6.133,/home/baset/.cache/huggingface/lerobot/mabsarker/fevla/eval_v5_ocelg_vlm/eval_pi0_dataset9_ocelg_95_vlm_ef_egg/videos/observation.images.top/chunk-000/file-000.mp4,out/failed_videos/egg/ep007_fail_top.mp4,465.2,out/failed_videos/egg/ep007_fail_top.gif,4677.5,True
orange,eval_pi0_dataset9_ocelg_95_vlm_ef_orange,1,top,208,6.933,/home/baset/.cache/huggingface/lerobot/mabsarker/fevla/eval_v5_ocelg_vlm/eval_pi0_dataset9_ocelg_95_vlm_ef_orange/videos/observation.images.top/chunk-000/file-000.mp4,out/failed_videos/orange/ep001_fail_top.mp4,523.2,out/failed_videos/orange/ep001_fail_top.gif,5068.9,True
